name,repo,description
Aeses,https://github.com/ChinoCodeDemon/Aeses ,Multipurpose discord bot (focus Activity enhancement and Spam Detection)
DemonicCollection,https://github.com/ChinoCodeDemon/DemonicCollection ,This collection
